Date,Open,High,Low,Close,Adj Close,Volume
2019-05-08,9.990000,9.990000,9.990000,9.990000,9.513280,0
2019-05-09,9.960000,9.960000,9.960000,9.960000,9.484712,0
2019-05-10,10.000000,10.000000,10.000000,10.000000,9.522803,0
2019-05-13,9.760000,9.760000,9.760000,9.760000,9.294256,0
2019-05-14,9.840000,9.840000,9.840000,9.840000,9.370440,0
2019-05-15,9.900000,9.900000,9.900000,9.900000,9.427574,0
2019-05-16,10.000000,10.000000,10.000000,10.000000,9.522803,0
2019-05-17,9.940000,9.940000,9.940000,9.940000,9.465666,0
2019-05-20,9.870000,9.870000,9.870000,9.870000,9.399006,0
2019-05-21,9.950000,9.950000,9.950000,9.950000,9.475188,0
2019-05-22,9.930000,9.930000,9.930000,9.930000,9.456144,0
2019-05-23,9.810000,9.810000,9.810000,9.810000,9.341869,0
2019-05-24,9.820000,9.820000,9.820000,9.820000,9.351393,0
2019-05-28,9.740000,9.740000,9.740000,9.740000,9.275209,0
2019-05-29,9.670000,9.670000,9.670000,9.670000,9.208550,0
2019-05-30,9.700000,9.700000,9.700000,9.700000,9.237119,0
2019-05-31,9.570000,9.570000,9.570000,9.570000,9.113322,0
2019-06-03,9.540000,9.540000,9.540000,9.540000,9.084755,0
2019-06-04,9.750000,9.750000,9.750000,9.750000,9.284734,0
2019-06-05,9.830000,9.830000,9.830000,9.830000,9.360915,0
2019-06-06,9.890000,9.890000,9.890000,9.890000,9.418053,0
2019-06-07,10.000000,10.000000,10.000000,10.000000,9.522803,0
2019-06-10,10.050000,10.050000,10.050000,10.050000,9.570417,0
2019-06-11,10.040000,10.040000,10.040000,10.040000,9.560894,0
2019-06-12,10.020000,10.020000,10.020000,10.020000,9.541849,0
2019-06-13,10.070000,10.070000,10.070000,10.070000,9.589463,0
2019-06-14,10.050000,10.050000,10.050000,10.050000,9.570417,0
2019-06-17,10.060000,10.060000,10.060000,10.060000,9.579941,0
2019-06-18,10.160000,10.160000,10.160000,10.160000,9.675168,0
2019-06-19,10.190000,10.190000,10.190000,10.190000,9.703736,0
2019-06-20,10.290000,10.290000,10.290000,10.290000,9.798964,0
2019-06-21,10.270000,10.270000,10.270000,10.270000,9.779919,0
2019-06-24,10.260000,10.260000,10.260000,10.260000,9.770396,0
2019-06-25,10.160000,10.160000,10.160000,10.160000,9.675168,0
2019-06-26,10.140000,10.140000,10.140000,10.140000,9.656123,0
2019-06-27,10.180000,10.180000,10.180000,10.180000,9.694214,0
2019-06-28,10.240000,10.240000,10.240000,10.240000,9.751350,0
2019-07-01,10.330000,10.330000,10.330000,10.330000,9.837056,0
2019-07-02,10.360000,10.360000,10.360000,10.360000,9.865624,0
2019-07-03,10.440000,10.440000,10.440000,10.440000,9.941805,0
2019-07-05,10.420000,10.420000,10.420000,10.420000,9.922761,0
2019-07-08,10.370000,10.370000,10.370000,10.370000,9.875147,0
2019-07-09,10.390000,10.390000,10.390000,10.390000,9.894193,0
2019-07-10,10.440000,10.440000,10.440000,10.440000,9.941805,0
2019-07-11,10.460000,10.460000,10.460000,10.460000,9.960852,0
2019-07-12,10.460000,10.460000,10.460000,10.460000,9.960852,0
2019-07-15,10.510000,10.510000,10.510000,10.510000,10.008466,0
2019-07-16,10.480000,10.480000,10.480000,10.480000,9.979897,0
2019-07-17,10.410000,10.410000,10.410000,10.410000,9.913238,0
2019-07-18,10.450000,10.450000,10.450000,10.450000,9.951329,0
2019-07-19,10.390000,10.390000,10.390000,10.390000,9.894193,0
2019-07-22,10.420000,10.420000,10.420000,10.420000,9.922761,0
2019-07-23,10.490000,10.490000,10.490000,10.490000,9.989422,0
2019-07-24,10.540000,10.540000,10.540000,10.540000,10.037035,0
2019-07-25,10.480000,10.480000,10.480000,10.480000,9.979897,0
2019-07-26,10.560000,10.560000,10.560000,10.560000,10.056081,0
2019-07-29,10.540000,10.540000,10.540000,10.540000,10.037035,0
2019-07-30,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-07-31,10.400000,10.400000,10.400000,10.400000,9.903714,0
2019-08-01,10.310000,10.310000,10.310000,10.310000,9.818010,0
2019-08-02,10.230000,10.230000,10.230000,10.230000,9.741827,0
2019-08-05,9.930000,9.930000,9.930000,9.930000,9.456144,0
2019-08-06,10.060000,10.060000,10.060000,10.060000,9.579941,0
2019-08-07,10.060000,10.060000,10.060000,10.060000,9.579941,0
2019-08-08,10.260000,10.260000,10.260000,10.260000,9.770396,0
2019-08-09,10.190000,10.190000,10.190000,10.190000,9.703736,0
2019-08-12,10.070000,10.070000,10.070000,10.070000,9.589463,0
2019-08-13,10.220000,10.220000,10.220000,10.220000,9.732305,0
2019-08-14,9.930000,9.930000,9.930000,9.930000,9.456144,0
2019-08-15,9.950000,9.950000,9.950000,9.950000,9.475188,0
2019-08-16,10.100000,10.100000,10.100000,10.100000,9.618032,0
2019-08-19,10.220000,10.220000,10.220000,10.220000,9.732305,0
